case_id,pair_skill_a,pair_skill_b,overlap_score,overlapping_phrase_a,overlapping_phrase_b,template_kind,suggestion_text,reviewer_1_actionability_1to5,reviewer_1_preservation_1to5,reviewer_2_actionability_1to5,reviewer_2_preservation_1to5,reviewer_notes
case-01,birdingkit__ebird-mcp-server,cameroncooke__xcodebuildmcp,1.00,A MCP server that integrates the eBird API to connect with an AI agent.,A Model Context Protocol (MCP) server that provides Xcode-related tools for integration with AI assistants and other MCP clients.,add_domain_qualifier,"Rename ""ebird-mcp-server"" to ""birdingkit-ebird-mcp-server"" so its trigger phrases unambiguously belong to the birdingkit domain. (Original: ""A MCP server that integrates the eBird API to connect with an AI agent."".)",4,5,4,5,"[LLM-r2 GPT-5.4]: This gives a concrete new name to apply and cleanly preserves the eBird MCP server's intent while distinguishing its source. | [LLM-r1 gemini-2.5-pro]: The suggestion clearly renames the skill by prepending the author's domain, which is highly actionable and preserves the original intent perfectly."
case-01,birdingkit__ebird-mcp-server,cameroncooke__xcodebuildmcp,1.00,A MCP server that integrates the eBird API to connect with an AI agent.,A Model Context Protocol (MCP) server that provides Xcode-related tools for integration with AI assistants and other MCP clients.,narrow_scope,"Narrow the description of ""ebird-mcp-server"" to specify a concrete sub-task. The phrase ""A MCP server that integrates the eBird API to connect with an AI agent."" is too generic; replace with a phrase that includes the specific artifact, e.g. ""A MCP server that integrates the eBird API to connect with an AI agent. a Stripe webhook"" or ""A MCP server that integrates the eBird API to connect with an AI agent. the migrations folder"".",2,1,2,1,"[LLM-r2 GPT-5.4]: It signals that the description should be narrowed, but the supplied examples are unrelated to eBird and would distort the skill's meaning. | [LLM-r1 gemini-2.5-pro]: Appending unrelated examples like 'a Stripe webhook' makes the suggestion nonsensical and completely breaks the original meaning of the skill."
case-01,birdingkit__ebird-mcp-server,cameroncooke__xcodebuildmcp,1.00,A MCP server that integrates the eBird API to connect with an AI agent.,A Model Context Protocol (MCP) server that provides Xcode-related tools for integration with AI assistants and other MCP clients.,reword_trigger_verb,"Replace the trigger verb ""a"" in ""A MCP server that integrates the eBird API to connect with an AI agent."" with ""a-specific"" to disambiguate from sibling skills. Updated description: ""a-specific MCP server that integrates the eBird API to connect with an AI agent."".",1,3,2,2,"[LLM-r2 GPT-5.4]: The edit is explicit, but turning ""A"" into ""a-specific"" creates broken English and an unusable description. | [LLM-r1 gemini-2.5-pro]: The suggestion to create the ungrammatical phrase 'a-specific' is not actionable and results in an awkward, unprofessional description."
case-02,birdingkit__ebird-mcp-server,claude-skills-maintainers__cloudflare-agents,1.00,A MCP server that integrates the eBird API to connect with an AI agent.,"Build AI agents on Cloudflare Workers with MCP integration, tool use, and LLM providers.",add_domain_qualifier,"Rename ""ebird-mcp-server"" to ""birdingkit-ebird-mcp-server"" so its trigger phrases unambiguously belong to the birdingkit domain. (Original: ""A MCP server that integrates the eBird API to connect with an AI agent."".)",4,5,4,5,"[LLM-r2 GPT-5.4]: This is a clear rename that a user can apply directly without changing the eBird-focused intent. | [LLM-r1 gemini-2.5-pro]: The suggestion clearly renames the skill by prepending the author's domain, which is highly actionable and preserves the original intent perfectly."
case-02,birdingkit__ebird-mcp-server,claude-skills-maintainers__cloudflare-agents,1.00,A MCP server that integrates the eBird API to connect with an AI agent.,"Build AI agents on Cloudflare Workers with MCP integration, tool use, and LLM providers.",narrow_scope,"Narrow the description of ""ebird-mcp-server"" to specify a concrete sub-task. The phrase ""A MCP server that integrates the eBird API to connect with an AI agent."" is too generic; replace with a phrase that includes the specific artifact, e.g. ""A MCP server that integrates the eBird API to connect with an AI agent. a Stripe webhook"" or ""A MCP server that integrates the eBird API to connect with an AI agent. the migrations folder"".",2,1,2,1,"[LLM-r2 GPT-5.4]: It tells the user to narrow the wording, but the concrete examples are unrelated to the birding domain and break the original meaning. | [LLM-r1 gemini-2.5-pro]: Appending unrelated examples like 'a Stripe webhook' makes the suggestion nonsensical and completely breaks the original meaning of the skill."
case-02,birdingkit__ebird-mcp-server,claude-skills-maintainers__cloudflare-agents,1.00,A MCP server that integrates the eBird API to connect with an AI agent.,"Build AI agents on Cloudflare Workers with MCP integration, tool use, and LLM providers.",reword_trigger_verb,"Replace the trigger verb ""a"" in ""A MCP server that integrates the eBird API to connect with an AI agent."" with ""a-specific"" to disambiguate from sibling skills. Updated description: ""a-specific MCP server that integrates the eBird API to connect with an AI agent."".",1,3,2,2,"[LLM-r2 GPT-5.4]: The replacement is mechanically specific, yet ""a-specific MCP server"" is ungrammatical and not suitable for real use. | [LLM-r1 gemini-2.5-pro]: The suggestion to create the ungrammatical phrase 'a-specific' is not actionable and results in an awkward, unprofessional description."
case-03,birdingkit__ebird-mcp-server,enessari__metabase-ai-assistant,1.00,A MCP server that integrates the eBird API to connect with an AI agent.,"🤖 AI-powered MCP server for Metabase & PostgreSQL - Generate dashboards, SQL queries, and analytics with Claude Desktop & Claude Code integration",add_domain_qualifier,"Rename ""ebird-mcp-server"" to ""birdingkit-ebird-mcp-server"" so its trigger phrases unambiguously belong to the birdingkit domain. (Original: ""A MCP server that integrates the eBird API to connect with an AI agent."".)",4,5,4,5,"[LLM-r2 GPT-5.4]: The rename is straightforward and preserves the original eBird server intent while adding a strong differentiator. | [LLM-r1 gemini-2.5-pro]: The suggestion clearly renames the skill by prepending the author's domain, which is highly actionable and preserves the original intent perfectly."
case-03,birdingkit__ebird-mcp-server,enessari__metabase-ai-assistant,1.00,A MCP server that integrates the eBird API to connect with an AI agent.,"🤖 AI-powered MCP server for Metabase & PostgreSQL - Generate dashboards, SQL queries, and analytics with Claude Desktop & Claude Code integration",narrow_scope,"Narrow the description of ""ebird-mcp-server"" to specify a concrete sub-task. The phrase ""A MCP server that integrates the eBird API to connect with an AI agent."" is too generic; replace with a phrase that includes the specific artifact, e.g. ""A MCP server that integrates the eBird API to connect with an AI agent. a Stripe webhook"" or ""A MCP server that integrates the eBird API to connect with an AI agent. the migrations folder"".",2,1,2,1,[LLM-r2 GPT-5.4]: The instruction is only loosely actionable and the suggested artifacts are unrelated to the skill's eBird integration purpose. | [LLM-r1 gemini-2.5-pro]: Appending unrelated examples like 'a Stripe webhook' makes the suggestion nonsensical and completely breaks the original meaning of the skill.
case-03,birdingkit__ebird-mcp-server,enessari__metabase-ai-assistant,1.00,A MCP server that integrates the eBird API to connect with an AI agent.,"🤖 AI-powered MCP server for Metabase & PostgreSQL - Generate dashboards, SQL queries, and analytics with Claude Desktop & Claude Code integration",reword_trigger_verb,"Replace the trigger verb ""a"" in ""A MCP server that integrates the eBird API to connect with an AI agent."" with ""a-specific"" to disambiguate from sibling skills. Updated description: ""a-specific MCP server that integrates the eBird API to connect with an AI agent."".",1,3,2,2,"[LLM-r2 GPT-5.4]: It specifies an exact word swap, but the resulting phrase is broken English and not a viable description. | [LLM-r1 gemini-2.5-pro]: The suggestion to create the ungrammatical phrase 'a-specific' is not actionable and results in an awkward, unprofessional description."
case-04,cameroncooke__xcodebuildmcp,danielealbano__mcp-for-azure-devops-boards,1.00,A Model Context Protocol (MCP) server that provides Xcode-related tools for integration with AI assistants and other MCP clients.,"A Model Context Protocol (MCP) server for interacting with Azure DevOps Boards and Work Items, written in Rust.",add_domain_qualifier,"Rename ""XcodeBuildMCP"" to ""cameroncooke-XcodeBuildMCP"" so its trigger phrases unambiguously belong to the cameroncooke domain. (Original: ""A Model Context Protocol (MCP) server that provides Xcode-related tools for integration with AI assistants and other MCP clients."".)",4,5,4,5,"[LLM-r2 GPT-5.4]: This is a specific rename that cleanly differentiates the Xcode MCP skill without altering what it does. | [LLM-r1 gemini-2.5-pro]: Prepending the author's domain is a clear, actionable change that perfectly preserves the skill's original intent while disambiguating it."
